month,validator,consensus_income,execution_income
2020-12-01,0.0,261.04358015197005,0.0
2020-12-01,1.0,261.12581558851,0.0
2020-12-01,2.0,259.74096081987,0.0
2020-12-01,3.0,260.89083837019,0.0
2020-12-01,4.0,253.68423068482,0.0
2020-12-01,5.0,260.06775654297996,0.0
2020-12-01,6.0,260.7421128858699,0.0
2020-12-01,7.0,247.25348210611998,0.0
2020-12-01,9.0,254.71181826353003,0.0
2020-12-01,10.0,258.40463829620995,0.0
2020-12-01,11.0,254.67340586780992,0.0
2020-12-01,12.0,258.90537745869005,0.0
2020-12-01,13.0,259.16685867310997,0.0
2020-12-01,14.0,261.77778307905,0.0
2020-12-01,15.0,264.16605508522997,0.0
2020-12-01,16.0,257.1942765595,0.0
2020-12-01,17.0,256.5426544301399,0.0
2020-12-01,18.0,259.6969423530701,0.0
2020-12-01,19.0,258.48069722588,0.0
2020-12-01,20.0,260.18382174249,0.0
2020-12-01,21.0,265.78767886287994,0.0
2020-12-01,22.0,258.21168324891,0.0
2020-12-01,23.0,253.11679996510003,0.0
2020-12-01,24.0,261.73983135248005,0.0
2020-12-01,25.0,263.93149245674005,0.0
2020-12-01,26.0,261.7546991026699,0.0
2020-12-01,27.0,263.36376578324,0.0
2020-12-01,28.0,259.29020728764004,0.0
2020-12-01,29.0,264.08926773941,0.0
2020-12-01,30.0,260.44451332680006,0.0
2020-12-01,31.0,258.16150156591,0.0
2020-12-01,32.0,206.28297617132006,0.0
2021-01-01,0.0,372.90204044623,0.0
2021-01-01,1.0,381.87349802189004,0.0
2021-01-01,2.0,381.5988158979801,0.0
2021-01-01,3.0,378.73476324037995,0.0
2021-01-01,4.0,382.07009494832,0.0
2021-01-01,5.0,379.45320671393984,0.0
2021-01-01,6.0,372.81740668170994,0.0
2021-01-01,7.0,255.00603667093,0.0
2021-01-01,9.0,372.94198990123994,0.0
2021-01-01,10.0,370.8732734659599,0.0
2021-01-01,11.0,374.28373260591997,0.0
2021-01-01,12.0,375.99173252917996,0.0
2021-01-01,13.0,372.24286588815005,0.0
2021-01-01,14.0,379.03422440273,0.0
2021-01-01,15.0,376.33160023778004,0.0
2021-01-01,16.0,371.49768218400993,0.0
2021-01-01,17.0,363.13903685096,0.0
2021-01-01,18.0,373.10522600614,0.0
2021-01-01,19.0,374.6040157721701,0.0
2021-01-01,20.0,361.35229030562004,0.0
2021-01-01,21.0,389.67175828991,0.0
2021-01-01,22.0,367.93069212583003,0.0
2021-01-01,23.0,369.27103499952,0.0
2021-01-01,24.0,375.13188364536,0.0
2021-01-01,25.0,362.3156023757001,0.0
2021-01-01,26.0,369.0705423846501,0.0
2021-01-01,27.0,382.53391985891005,0.0
2021-01-01,28.0,365.1849721509199,0.0
2021-01-01,29.0,369.75603964784,0.0
2021-01-01,30.0,376.67134542195987,0.0
2021-01-01,31.0,366.6998062664699,0.0
2021-01-01,32.0,218.16688658742,0.0
2021-02-01,0.0,393.17805850161,0.0
2021-02-01,1.0,386.77680762579,0.0
2021-02-01,2.0,398.79555148858003,0.0
2021-02-01,3.0,403.74560904806,0.0
2021-02-01,4.0,408.00020162414006,0.0
2021-02-01,5.0,423.35129151911,0.0
2021-02-01,6.0,399.2957168482399,0.0
2021-02-01,7.0,436.6542798677601,0.0
2021-02-01,9.0,349.9307568738499,0.0
2021-02-01,10.0,408.7083108053101,0.0
2021-02-01,11.0,402.3469120001101,0.0
2021-02-01,12.0,402.9633559288801,0.0
2021-02-01,13.0,392.1114985009399,0.0
2021-02-01,14.0,404.63240514489996,0.0
2021-02-01,15.0,399.50090379191994,0.0
2021-02-01,16.0,417.74602840929,0.0
2021-02-01,17.0,398.10456442033,0.0
2021-02-01,18.0,404.96574876341003,0.0
2021-02-01,19.0,418.35857219008005,0.0
2021-02-01,20.0,391.71976158449,0.0
2021-02-01,21.0,393.4645965629899,0.0
2021-02-01,22.0,413.82797635271004,0.0
2021-02-01,23.0,405.7782834354899,0.0
2021-02-01,24.0,398.48087143410004,0.0
2021-02-01,25.0,398.84751866578006,0.0
2021-02-01,26.0,386.3893057002398,0.0
2021-02-01,27.0,408.91578524360995,0.0
2021-02-01,28.0,380.49736470779,0.0
2021-02-01,29.0,392.25920347603005,0.0
2021-02-01,30.0,416.17218482246,0.0
2021-02-01,31.0,396.79242843749006,0.0
2021-02-01,32.0,225.30215671590997,0.0
2021-03-01,0.0,442.20723671488,0.0
2021-03-01,1.0,440.9788573984399,0.0
2021-03-01,2.0,448.37658210553,0.0
2021-03-01,3.0,465.98872910882994,0.0
2021-03-01,4.0,446.74609039191,0.0
2021-03-01,5.0,435.2903850781001,0.0
2021-03-01,6.0,435.71415459529004,0.0
2021-03-01,7.0,378.37048108019997,0.0
2021-03-01,9.0,430.6978724854601,0.0
2021-03-01,10.0,444.73250751020004,0.0
2021-03-01,11.0,437.4115909992401,0.0
2021-03-01,12.0,414.85663118840995,0.0
2021-03-01,13.0,410.3377396824401,0.0
2021-03-01,14.0,422.45775240112005,0.0
2021-03-01,15.0,416.24543558428996,0.0
2021-03-01,16.0,416.1170046870699,0.0
2021-03-01,17.0,410.9774085013001,0.0
2021-03-01,18.0,422.11525187840994,0.0
2021-03-01,19.0,416.5577130394199,0.0
2021-03-01,20.0,448.63475832508993,0.0
2021-03-01,21.0,417.53298515284,0.0
2021-03-01,22.0,469.40739402526975,0.0
2021-03-01,23.0,446.16995204759985,0.0
2021-03-01,24.0,423.53014624776,0.0
2021-03-01,25.0,443.21354919192004,0.0
2021-03-01,26.0,442.8183948518601,0.0
2021-03-01,27.0,422.82045724346995,0.0
2021-03-01,28.0,435.1982779443299,0.0
2021-03-01,29.0,429.12602967949,0.0
2021-03-01,30.0,416.3678604664999,0.0
2021-03-01,31.0,449.20558536769994,0.0
2021-03-01,32.0,399.21036334437997,0.0
2021-04-01,0.0,488.1793798272,0.0
2021-04-01,1.0,497.13652541093,0.0
2021-04-01,2.0,487.87813469667003,0.0
2021-04-01,3.0,488.11300625291,0.0
2021-04-01,4.0,497.41452757276,0.0
2021-04-01,5.0,497.82700363189,0.0
2021-04-01,6.0,483.40734419108014,0.0
2021-04-01,7.0,496.98872659301,0.0
2021-04-01,9.0,518.4120567334,0.0
2021-04-01,10.0,505.8703692613199,0.0
2021-04-01,11.0,515.07538737265,0.0
2021-04-01,12.0,497.04758668367003,0.0
2021-04-01,13.0,489.02712314512013,0.0
2021-04-01,14.0,489.07169741092997,0.0
2021-04-01,15.0,504.89058435587,0.0
2021-04-01,16.0,518.4116880021301,0.0
2021-04-01,17.0,488.5501607794401,0.0
2021-04-01,18.0,488.87208406791,0.0
2021-04-01,19.0,514.55152000493,0.0
2021-04-01,20.0,497.3989769587399,0.0
2021-04-01,21.0,535.3681085223499,0.0
2021-04-01,22.0,521.6821319682801,0.0
2021-04-01,23.0,532.5464010556701,0.0
2021-04-01,24.0,522.12178573749,0.0
2021-04-01,25.0,489.02107136188005,0.0
2021-04-01,26.0,506.5703247707,0.0
2021-04-01,27.0,488.3960808143301,0.0
2021-04-01,28.0,497.2899399003699,0.0
2021-04-01,29.0,505.46885552396,0.0
2021-04-01,30.0,526.1016171773899,0.0
2021-04-01,31.0,515.71547906151,0.0
2021-04-01,32.0,399.36346259221995,0.0
2021-05-01,0.0,708.0130153128099,0.0
2021-05-01,1.0,762.8018900729098,0.0
2021-05-01,2.0,735.2312591982702,0.0
2021-05-01,3.0,709.4456189784901,0.0
2021-05-01,4.0,749.8555097475103,0.0
2021-05-01,5.0,722.7979754866,0.0
2021-05-01,6.0,732.03575730047,0.0
2021-05-01,7.0,722.2879756847902,0.0
2021-05-01,9.0,709.4337767082001,0.0
2021-05-01,10.0,720.2335061268798,0.0
2021-05-01,11.0,722.7016409187501,0.0
2021-05-01,12.0,731.2106160145103,0.0
2021-05-01,13.0,705.5783991450998,0.0
2021-05-01,14.0,694.5425242592702,0.0
2021-05-01,15.0,730.52402733081,0.0
2021-05-01,16.0,721.5085896434198,0.0
2021-05-01,17.0,716.8979017940001,0.0
2021-05-01,18.0,708.8019357928202,0.0
2021-05-01,19.0,693.07300867263,0.0
2021-05-01,20.0,704.03448763075,0.0
2021-05-01,21.0,717.2477307698299,0.0
2021-05-01,22.0,730.7269634096199,0.0
2021-05-01,23.0,702.4680948638203,0.0
2021-05-01,24.0,724.6508204179102,0.0
2021-05-01,25.0,749.59015328882,0.0
2021-05-01,26.0,716.8360862093199,0.0
2021-05-01,27.0,720.8950784112199,0.0
2021-05-01,28.0,691.95063410232,0.0
2021-05-01,29.0,726.77952580089,0.0
2021-05-01,30.0,746.52985598599,0.0
2021-05-01,31.0,701.1837253705602,0.0
2021-05-01,32.0,664.6783962995299,0.0
2021-06-01,0.0,433.2498179744299,0.0
2021-06-01,1.0,445.15968532325996,0.0
2021-06-01,2.0,432.27761072002005,0.0
2021-06-01,3.0,423.42446344932995,0.0
2021-06-01,4.0,442.49604364286,0.0
2021-06-01,5.0,447.04317691406993,0.0
2021-06-01,6.0,442.7260271650301,0.0
2021-06-01,7.0,435.0790122476001,0.0
2021-06-01,9.0,444.03783607217997,0.0
2021-06-01,10.0,446.63277544595,0.0
2021-06-01,11.0,423.67742897267993,0.0
2021-06-01,12.0,423.64696472289,0.0
